Date,Have?,Entered?,ESTC#,Subject,Title,Imprint,Author1,Author2,Author3,Author4,Editor,Translator,Printer1,PrinterLoc 1,Printer2,PrinterLoc 2,Engraver1,Engraver1 Loc,Engraver2,Engraver3,Engraver4,Illustrator1,Illustrator2,Illustrator3,Bookseller 1,SaleShop 1,ShopLoc 1,Bookseller 2,SaleShop2,ShopLoc 2,Bookseller 3,SaleShop 3,ShopLoc 3,Bookseller 4,SaleShop 4,ShopLoc 4,Bookseller 5,SaleShop 5,ShopLoc 5,Bookseller 6,SaleShop 6,ShopLoc 6,Bookseller 7,SaleShop 7,ShopLoc 7,Bookseller 8,SaleShop 8,ShopLoc 8,Bookseller 9,SaleShop 9,ShopLoc 9,Bookseller 10,SaleShop 10,ShopLoc 10,Bookseller 11,Sale Shop 11,ShopLoc 11,Bookseller 12,Sale Shop 12,ShopLoc 12,Bookseller 13,Sale Shop 13,ShopLoc 13,Bookseller 14,Sale Shop 14,ShopLoc 14,Bookseller 15,Sale Shop 15,ShopLoc 15,Bookseller 16,Sale Shop 16,ShopLoc 16,Bookseller 17,Sale Shop 17,ShopLoc 17,Bookseller 18,Sale Shop 18,ShopLoc 18,Bookseller 19,Sale Shop 19,ShopLoc 19,RefSource,Library,Format,# Subs,# Copies,# Women
1694,x,x,R223323,Physics/Cosmology,an entire body of philosophy of des cartes,London,Richard Blome,Anthony Legrand,,,,Richard Blome,Samuel Roycroft,Bartholomew Close: London,,,John Kip,London,Michael Van Der Gucht,,,George Freeman,,,Richard Blome,The Green Pales,Clare Market: London,Thomas Horne,South Entrance,Royal Exchange: London,John Southby,South Entrance,Royal Exchange: London,Richard Chiswell,The Rose & Crown,St Paul's Churchyard: London,Robert Clavell,The Peacock,St Paul's Churchyard: London,Charles Brome,The Gun,St Paul's Churchyard: London,Jacob Tonson I,The Judge's Head,Fleet Street: London,Francis Saunders,The Blue Anchor,The Strand: London,Matthew Gilliflower,The Spread Eagle,Westminster Hall: London,Richard Richards,The Bible,Essex Street: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,R9,University of Michigan,2mo,171,,5
1698,x,x,R18084,Anatomy/Medicine,myographia nova or a graphical description of all the muscles in the human body,London,John Brown,Richard Lower,William Molins,Giulio Cesare Casseri,,,Thomas Milbourne,Jewin Street: London,,,Francesco Valesio,,,,,Odiardo Fialetti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R6,The British Library,2mo,233,,0
1700,x,x,R178277,Physics/Cosmology,remarks on the new philosophy of descartes,London,Edward Howard,,,,,,James Gardiner,Lincolns Inn Fields: London,,,,,,,,,,,Richard Ellison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R6,The British Library,4to,19,,0
1700,x,,R20833,Travel/Natural History,the natural history of lancashire,Oxford,Charles Leigh,,,,,,Anthony Piesley,Oxford,,,William Faithorne,,,,,,,,George West,,Oxford,Henry Clements I,,Oxford,Edward Evet,The Green Dragon,St Paul's Churchyard: London,John Nicholson 2,The King's Arms,Little Britain: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R3,University of Michigan,2mo,,,
1701,x,,T1872,Anatomy/Medicine,the present state of physick & surgery in london,London,Merchant in London,,,,,,,,,,,,,,,,,,Thomas Speed,Jonathan's Coffee House in Exchange Alley,Cornhill: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,Oxford University,4to,46,,0
1702,x,,T167254,Mathematics,cocker's arithmetick,London,Edward Cocker,,,,John Hawkins,,William Richardson 1,London,,,,,,,,,,,George Sawbridge,The Three Fleur de Luces,Little Britain: London,Richard Wellington,The Lute,St Paul's Churchyard: London,Ebenezer Tracey,The Three Bibles,London Bridge: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R9,The British Library,2mo,15,,
1704,x,,T142411,Encyclopedia,lexicon technicum 1,London,John Harris,,,,,,,,,,John Sturt,,B Lens,,,,,,Daniel Browne,The Black Swan & Bible,Temple Bar: London,Timothy Goodwin,The Queen's Head,Fleet Street: London,John Walthoe,The Black Lion,Lincolns Inn Fields: London,Thomas Newborough,The Star,St Paul's Churchyard: London,John Nicholson 2,The King's Arms,Little Britain: London,Thomas Benskin,Green's Rents near Fleet Bridge,Lincolns Inn Fields: London,Benjamin Tooke,Middle Temple Gate,Fleet Street: London,Daniel Midwinter,The Peacock,Fleet Street: London,Thomas Leigh,The Peacock,Fleet Street: London,Francis Coggan,The Blue Bell,Temple Bar: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,R3,Aberdeen University,2mo,,,
1705,x,,T154561,Botany,amaltheum botanicum,London,Leonardus Plukenetius,,,,,,William Bowyer I,Whitefriars: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,Hunt Institute for Botanical Documentation,2mo,,,
1705,x,,T110985,Atlas/History/Geography,treatise of the description and use of the globes,London,John Senex,,,,,,William Pearson 2,Fleet Street: London,,,,,,,,,,,Charles Price,The Hermitage,Wapping: London,John Senex,St Dunston's Church,Fleet Street: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R6,The British Library,12mo,39,39,0
1705,x,,T68902,Anatomy/Medicine,nekrok_deia or the art of embalming,London,Thomas Greenhill,John Harris,,,,,,,,,Michael van der Gucht,,Thomas Platt,Joseph Nutting,Kip Johannes,Pierre Berchet,John Sturt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,The Francis A Countway Library of Medicine,4to,,,
1707,x,,T116102,Atlas/History/Geography,archaeologia britannica giving some account additional to what has been,Oxford,Edward Lhuyd,,,,,,Printers at Sheldonian Theater,Sheldonian Theater: Oxford,,,,,,,,,,,Christopher Bateman,The Bible & Crown,Pater Noster Row: London,Jeremiah Pepyat,,Dublin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,Oxford University,2mo,,,
1710,x,,T83065,Botany,botanologia the english herbal,London,William Salmon,,,,,,James Taylor,London,Henry Rhodes,Fleet Street: London,,,,,,,,,John Taylor,The Ship,Pater Noster Row: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R6,The British Library,2mo,,,
1710,x,,T142408,Encyclopedia,lexicon technicum 2,London,John Harris,,,,,,,,,,,,,,,,,,Daniel Browne,The Black Swan & Bible,Temple Bar: London,Timothy Goodwin,The Queen's Head,Fleet Street: London,John Walthoe,The Black Lion,Lincolns Inn Fields: London,John Nicholson 2,The King's Arms,Little Britain: London,Benjamin Tooke,Middle Temple Gate,Fleet Street: London,Daniel Midwinter,The Peacock,Fleet Street: London,Maurice Atkins,The Golden Ball,St Paul's Churchyard: London,Margaret Coggan,Inner Temple Lane,London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R3,Ohio State University,2mo,,,
1711,x,,T91437,Atlas/History/Geography,atlas geographus or a compleat system of geography,London,Herman Moll,,,,,,John Nutt,Savoy: London,,,,,,,,,,,Benjamin Barker,The Judge's Head,Westminster Hall: London,Charles King,The Judge's Head,Westminster Hall: London,Benjamin Tooke,Middle Temple Gate,Fleet Street: London,William Taylor,The Ship,Pater Noster Row: London,Henry Clements II,The Half Moon,St Paul's Churchyard: London,Richard Parker,The Piazza,Royal Exchange: London,Ralph Smith,The Piazza,Royal Exchange: London,John Morphew,Stationer's Court,Stationers Hall: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R6,The British Library,4to,74,74,0
1712,x,,T113534,Botany,the theory and practice of gardening  wherein is fully handled all that relates to fine gardens,London,Antoine-Joseph DŽzallier dÕArgenville,,,,,John James,George James,Little Britain: London,,,,,,,,,,,Maurice Atkins,The Golden Ball,St Paul's Churchyard: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,Smithsonian Library,4to,240,,
1712,x,,N15362,Mathematics,cursus mathematicus,London,Jacques Ozanam,,,,,John Theophilus Desaguliers,L Lichfield,Oxford,,,,,,,,,,,John Nicholson 2,The King's Arms,Little Britain: London,John Morphew,Stationer's Court,Stationers Hall: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,Loganian Library: Philadelphia,8vo,105,128,0
1712,x,,T113762,Anatomy/Medicine,a compleat history of druggs divided into three classes,London,Pierre Pomet,Nicholas Lemery,Joseph Pitton Tournefort,,,,,,,,,,,,,,,,Rebecca Bonwicke,The Red Lion,St Paul's Churchyard: London,William Freeman,The Artichoke,Fleet Street: London,Timothy Goodwin,The Queen's Head,Fleet Street: London,John Walthoe,The Black Lion,Lincolns Inn Fields: London,Matthew Wotton,The Three Daggers,Fleet Street: London,John Nicholson 2,The King's Arms,Little Britain: London,Benjamin Tooke,Middle Temple Gate,Fleet Street: London,Rebecca Bonwicke,The Red Lion,St Paul's Churchyard: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,Oxford University,4to,157,,
1717,x,,T100920,Physics/Cosmology,lineae tertii ordinis neutonianae,Oxford,James Stirling,,,,,,Edward Whistler,Sheldonian Theater: Oxford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R3,Cambridge University,8vo,181,224,0
1718,x,,T63060,Anatomy/Medicine,evodia of a discourse on causes and cures,London,Edward Strother,,,,,,Charles Rivington I,St Paul's Churchyard: London,,,,,,,,,,,James Fletcher,The Bible & Crown,St Paul's Churchyard: London,Charles Rivington I,The Bible & Crown,St Paul's Churchyard: London,Francis Rivington,The Bible & Crown,St Paul's Churchyard: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R6,The British Library,8vo,26,26,0
1720,x,,T48975,Atlas/History/Geography,a survey of the cities of london and westminster,London,John Stow,John Strype,,,,,John Stow,London,John Strype,London,,,,,,,,,Awnsham Churchill,The Black Swan,Pater Noster Row: London,James Knapton,The Crown,St Paul's Churchyard: London,Robert Knaplock,The Angel & Crown,St Paul's Churchyard: London,John Walthoe,The Black Lion,Lincolns Inn Fields: London,E Horne,,London,Benjamin Tooke,Middle Temple Gate,Fleet Street: London,Daniel Midwinter,The Peacock,Fleet Street: London,Benjamin Cowse,The Rose & Crown,St Paul's Churchyard: London,Ranew Robinson,The Golden Lion,St Paul's Churchyard: London,Thomas Ward,,Inner Temple Lane: London,John Knapton,The Crown,St Paul's Churchyard: London,John Churchill 2,The Black Swan,Pater Noster Row: London,,,,,,,,,,,,,,,,,,,,,,R7,University of Nottingham,2mo,271,700,
1720,x,,T213361,Travel/Natural History,observations upon several voyages to india,London,Henry Cornwall,,,,,,Walter Bodenham,Fleet Street: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R6,The British Library,2mo,92,92,10
1720,x,,T85973,Travel/Natural History,natural history of english insects 1,London,Eleazar Albin,,,,,,William Innys,St Paul's Churchyard: London,John Innys,St Paul's Churchyard: London,,,,,,,,,William Innys,The West End,St Paul's Churchyard: London,John Innys,The West End,St Paul's Churchyard: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,Biodiversity Heritage Library,4to,171,184,0
1721,x,,T116366,Anatomy/Medicine,anatomical and mechanical lectures upon dancing wherein rules and institutions for that art are laid down and demonstrated,London,John Weaver,,,,,,John Brotherton,Cornhill: London,,,,,,,,,,,William Meadows,The Angel,Cornhill: London,John Graves,The Bible next White's Chocolate House,The Strand: London,William Rufus Chetwood,Cato's Head,Covent Garden: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R3,University of Michigan,8vo,31,,
1721,x,,T103704,Science History,the philosophical transactions (from the year 1700 to the year 1720) abridg'd,London,Henry Jones,,,,Henry Jones,,William Bowyer I,Whitefriars: London,,,,,,,,,,,George Strahan,The Golden Ball,Cornhill: London,Jonah Bowyer,The Rose,St Paul's Churchyard: London,Barnaby Bernard Lintot,The Cross Keys,Fleet Street: London,Daniel Browne II,The Black Swan & Bible,Temple Bar: London,William Lewis,The Blew Bell,Covent Garden: London,Charles King,The Judge's Head,Westminster Hall: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,New York Public Library,4to,335,1004,0
1721,x,,T27550,Travel/Natural History,a philosophical account of the works of nature,London,Richard Bradley,,,,,,William Mears,Temple Bar: London,,,,,,,,,,,William Mears,The Lamb,Temple Bar: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,Hunt Institute for Botanical Documentation,4to,352,538,0
1721,x,,T6444,Mathematics,an intire system of arithmetick,London,Edward Hatton,,,,,,William Mount,Tower Hill: London,John Mount,Tower Hill: London,,,,,,,,,George Strahan,The Golden Ball,Cornhill: London,Edward Symon,The Black Bull,Cornhill: London,Robert Knaplock,The Angel & Crown,St Paul's Churchyard: London,James Knapton,The Crown,St Paul's Churchyard: London,James Holland,The Bible & Ball,St Paul's Churchyard: London,Daniel Browne II,The Black Swan & Bible,Temple Bar: London,William Mears,The Lamb,Temple Bar: London,Edward Valentine,The Queen's Head,Fleet Street: London,Charles King,The Judge's Head,Westminster Hall: London,Henry Clements I,,Oxford,John Knapton,The Crown,St Paul's Churchyard: London,,,,,,,,,,,,,,,,,,,,,,,,,R3,University of Michigan,4to,297,,
1721,x,,T206837,Atlas/History/Geography,a new general atlas,London,John Senex,,,,,,,,,,John Senex,,John Harris,Christopher Browne,Samuel Parker 1,,,,Daniel Browne II,The Black Swan & Bible,Temple Bar: London,Thomas Taylor,The Golden Lion,Fleet Street: London,John Darby,,Bartholomew Close: London,John Senex,St Dunston's Church,Fleet Street: London,William Taylor,The Ship,Pater Noster Row: London,Joseph Smith,Inigo Jones's Head,The Strand: London,Andrew Johnston,Round Court,Saint Martin: London,William Bray,The Bell and Dragon,The Strand: London,Edward Symon,The Black Bull,Cornhill: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,University of Alberta,2mo,1067,1128,
1722,x,,1,Map,new and exact map of island of barbados,London,William Mayo,,,,,,John Senex,Fleet Street: London,,,John Senex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R6,The British Library,2mo,519,619,2
1723,x,,T146753,Atlas/History/Geography,travels through europe asia and part of africa 1,London,Aubry de La Mottraye,,,,,,Du Round,Exchange Alley: London,,,William Hogarth,,,,,,,,Du Round,,Exchange Alley: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,University of Toronto,2mo,490,514,
1723,x,,T82952,Botany,materia medica botanica,London,Gilbert Knowles,,,,,,William Bowyer I,Whitefriars: London,,,,,,,,,,,William Lewis,The Blew Bell,Covent Garden: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,Jefferson Library,4to,180,200,
1723,x,,N472547,Anatomy/Medicine,anatomy improv'd and illustrated,London,Charles Errard,,,,,,,,,,John Sturt,,,,,,,,John Senex,St Dunston's Church,Fleet Street: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R6,The British Library,2mo,143,143,0
1724,x,,T217480,Physics/Cosmology,teatro fisicosmografico ovvero trattato di cosmografia,London,Fioravanti,F A di C,,,,,James Bettenham,Pater Noster Row: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R6,The British Library,8vo,103,103,11
1724,x,,T85937,Travel/Natural History,natural history of english insects 2,London,Eleazar Albin,,,,,,William Innys,St Paul's Churchyard: London,John Innys,St Paul's Churchyard: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R6,The British Library,4to,171,184,60
1725,x,,T114401,Navigation,history of the ancient and present state of the navigation of the port of king's-lyn,London,Thomas Badeslade,,,,,,James Roberts,Warwick Lane: London,,,,,,,,,,,Charles Harwick,,Lyn,William Thurlbourn,,Cambridge,Cotobed East,,Ely,Richard Standfast,,Westminster Hall: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R6,The British Library,2mo,170,220,0
1725,x,,T78315,Engineering,the art of sound building,London,William Halfpenny,,,,,,Samuel Aris,The Strand: London,,,Benjamin Cole,St Paul's Churchyard: London,,,,,,,Thomas Taylor,The Golden Lion,Fleet Street: London,Bowen Whitledge,The Red Bible,Ave Mary Lane: London,Thomas Bowles,Next the Chapter House,St Paul's Churchyard: London,Thomas Wright,The Orrery and Globe,Fleet Street: London,John Senex,St Dunston's Church,Fleet Street: London,Francis Fayram,South Entrance: Royal Exchange,Cornhill: London,Thomas Worrall,St Dunstan's Church,Fleet Street: London,John Walthoe,The Black Lion,Lincolns Inn Fields: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,Getty Research Institute,2mo,148,,
1725,x,,T130904,Travel/Natural History,a journey to mequinez,London,John Windus,,,,,,,,,,,,,,,,,,Jacob Tonson I,The Judge's Head,Fleet Street: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R9,Bavarian State Library,8vo,290,,
1726,x,,T131718,Mathematics,the six first together with the eleventh and twelfth books of euclid's elements,London,Henry Hill 1,,,,,,William Pearson 1,Aldersgate Street: London,,,,,,,,,,,James Bonwicke,The Red Lion,St Paul's Churchyard: London,Francis Fayram,South Entrance: Royal Exchange,Cornhill: London,Benjamin Motte,Middle Temple Gate,Fleet Street: London,Rebecca Bonwicke,The Red Lion,St Paul's Churchyard: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,University of Michigan,4to,96,109,
1726,x,,T144114,Travel/Natural History,the natural and political history of portugal,London,Charles Brockwell,,,,,,,,,,,,,,,,,,Thomas Warner,The Black Boy,Pater Noster Row: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,The British Library,8vo,189,203,
1727,x,,T118289,Agriculture/Arts/Manufactures,a new system of agriculture,Dublin,John Laurence,,,,,,J Hyde,Dublin,,,,,,,,,,,E Dobson,,Dublin,Richard Gunne,,Dublin,Robert Owen,,Dublin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R7,US Dept Agriculture Library,2mo,,,
1727,x,,T97625,Physics/Cosmology,a treatise of the laws of nature,London,Richard Cumberland,,,,,John Maxwell,Richard Philips,West Smithfield: London,,,,,,,,,,,James Knapton,The Crown,St Paul's Churchyard: London,John Senex,St Dunston's Church,Fleet Street: London,Francis Fayram,South Entrance: Royal Exchange,Cornhill: London,John Osborne,No 33,Pater Noster Row: London,Thomas Longman,The Ship & Black Swan,Pater Noster Row: London,Thomas Osborne II,,Gray's Inn: London,John Knapton,The Crown,St Paul's Churchyard: London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R9,National Library of France,4to,795,850,
1728,x,,T124175,Physics/Cosmology,view of sir isaac newton's philosophy 2,Dublin,Henry Pemberton,,,,,,John Hyde,Dublin,,,,,,,,,,,John Smith,,Dublin,William Bruce,,Dublin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R6,The British Library,8vo,122,178,0
